tipo_imovel,logradouro,bairro,numero,metragem,quartos,vaga,preco_total,longitude,latitude,ruas,latitude_utm,longitude_utm
apartamento,Paes de Barros,Mooca,81,130,3,2,600000.0,-46.5874144,-23.569936,paes de barros,7392488.66,337996.17
apartamento,Guarará,Jardim Paulista,75,130,3,1,,-46.6575257,-23.5735764,guarara,7392004.47,330844.27
apartamento,Veiga Filho,Higienópolis,122,43,1,0,440000.0,-46.6597089,-23.5401983,veiga filho,7395698.16,330578.62
apartamento,Jacaré-Copaíba,Freguesia do Ó,62,66,3,1,300000.0,-46.7022463,-23.483577,jacare-copaiba,7401917.52,326161.24
apartamento,Nebulosas,São Mateus,141,46,2,1,266000.0,-46.4601456,-23.6118181,nebulosas,7387989.12,351033.92
apartamento,Francisco de Paula Quintanilha Ribeiro,Jabaquara,93,69,2,2,580000.0,-46.6418658,-23.6489217,francisco de paula quintanilha ribeiro,7383679.18,332538.51
apartamento,Senador Vergueiro,Flamengo,801,198,4,1,1800000.0,-43.17520311,-22.93542245,senador vergueiro,7462467.47,687118.99
apartamento,São Tomé,Vila Olímpia,1501,105,1,2,1680000.0,-46.6887343,-23.5940737,sao tome,7389697.36,327685.48
apartamento,Barros,Santa Cecília,82A1,160,4,2,1400000.0,-46.6551403,-23.5369982,barros,7396057.92,331040.98
apartamento,Adolfo Gordo,Bom Retiro,83,36,1,1,340000.0,-46.6490184,-23.5339913,adolfo gordo,7396398.1,331662.2
apartamento,César Vallejo,Morumbi,11,237,3,3,980000.0,-46.7044444,-23.6094444,cesar vallejo,7387976.18,326102.42
apartamento,Cipriano Barata,Ipiranga,25,45,2,1,280000.0,-46.6062829,-23.5710051,cipriano barata,7392348.8,336071.52
apartamento,General Barbosa Lima,Copacabana,301,80,2,2,862000.0,-43.18001019,-22.96650305,general barbosa lima,7459031.77,686583.3
apartamento,Rodrigo Cláudio,Aclimação,151,180,3,3,1500000.0,-46.635491,-23.5741966,rodrigo claudio,7391961.64,333094.19
apartamento,Urussuí,Itaim Bibi,142,88,2,1,,-46.67612,-23.5864655,urussui,7390555.03,328963.0
apartamento,Fagundes Filho,Saúde,45,82,2,2,885000.0,-46.6355364,-23.6267187,fagundes filho,7386145.34,333156.04
apartamento,Barão de Limeira,Bom Retiro,8C,63,2,0,350000.0,-46.6497693,-23.5314501,barao de limeira,7396678.63,331582.3
apartamento,José Eid Maluf,Cidade Ademar,444,45,2,1,225000.0,-46.656567,-23.6738186,jose eid maluf,7380904.76,331070.78
apartamento,Padre Machado,Saúde,41,69,2,1,550000.0,-46.6319814,-23.6015222,padre machado,7388939.72,333486.92
apartamento,Henrique Felipe da Costa,Vila Guilherme,35,49,1,1,310000.0,-46.6076526,-23.5176221,henrique felipe da costa,7398258.72,335865.44
apartamento,Franca,Jardim América,122,98,2,1,,-46.6625702,-23.5632468,franca,7393142.39,330316.09
apartamento,Barão de Castro Lima,Morumbi,204,276,4,4,1700000.0,-46.7037064,-23.6069531,barao de castro lima,7388252.97,326174.44
apartamento,Santos Dumont,Gávea,102,69,1,0,1030000.0,-43.22698171,-22.97423854,santos dumont,7458234.12,681756.39
apartamento,Sarutaiá,Jardim Paulista,111,193,3,2,,-46.6536004,-23.5697864,sarutaia,7392428.8,331240.09
apartamento,Duílio,Vila Romana,221,159,3,2,1500000.0,-46.6927703,-23.52401,duilio,7397451.4,327181.93
apartamento,Itacema,Itaim Bibi,62,160,3,2,,-46.6719892,-23.5791739,itacema,7391367.44,329375.18
apartamento,Fabrício Vampré,Vila Mariana,41,187,4,4,1920000.0,-46.6409849,-23.5832563,fabricio vampre,7390951.97,332544.91
apartamento,Capistrano de Abreu,Bom Retiro,34,68,2,1,450000.0,-46.6539978,-23.5281796,capistrano de abreu,7397035.83,331146.37
apartamento,Barão de Ipanema,Copacabana,802,110,3,1,1200000.0,-43.1924357,-22.97407357,barao de ipanema,7458209.17,685298.83
apartamento,Franca,Jardim América,52,175,3,2,,-46.6652229,-23.5604273,franca,7393451.48,330041.67
apartamento,Americanos,Bom Retiro,81,59,2,1,450000.0,-46.6555435,-23.5186888,americanos,7398085.01,330976.42
apartamento,Treze de Maio,Bela Vista,32,145,3,1,850000.0,-46.6446704,-23.5661641,treze de maio,7392840.42,332147.02
apartamento,Brasões,Santo Amaro,131,270,4,4,1800000.0,-46.6880969,-23.6285881,brasoes,7385875.96,327795.65
apartamento,Diógenes Ribeiro de Lima,Vila Leopoldina,274,180,4,3,1600000.0,-46.7188043,-23.5346669,diogenes ribeiro de lima,7396239.64,324537.66
apartamento,Paes de Barros,Mooca,133,110,2,1,450000.0,-46.5914776,-23.5669302,paes de barros,7392816.91,337577.72
apartamento,Barão do Triunfo,Campo Belo,52,130,4,2,1060626.0,-46.6775402,-23.6185557,barao do triunfo,7386999.65,328859.73
apartamento,Cayowaá,Perdizes,61,84,3,1,850000.0,-46.681424,-23.535386,cayowaa,7396205.24,328355.29
apartamento,Escola Politécnica,Jaguaré,41,234,3,3,1700000.0,-46.7377449,-23.5553807,escola politecnica,7393922.45,322631.53
apartamento,José Maria Lisboa,Jardim América,23,117,2,2,1310000.0,-46.6603051,-23.5658172,jose maria lisboa,7392860.43,330550.61
apartamento,Dois de Julho,Ipiranga,81,118,3,2,945000.0,-46.603801,-23.5962255,dois de julho,7389558.79,336356.14
apartamento,Jandira,Moema Índios,211,120,3,2,1230000.0,-46.6628569,-23.6061885,jandira,7388386.7,330342.06
apartamento,Capitães Mores,Mooca,62,87,3,2,630000.0,-46.5957,-23.5568768,capitaes mores,7393925.4,337134.32
apartamento,Frei Caneca,Bela Vista,63,59,1,1,498000.0,-46.6503856,-23.5521867,frei caneca,7394381.56,331545.8
apartamento,Catumbi,Belém,102,65,2,1,465000.0,-46.6023121,-23.5289017,catumbi,7397015.75,336424.72
apartamento,Frederico Guarinon,Vila Andrade,71,220,4,2,480000.0,-46.7318715,-23.6258252,frederico guarinon,7386128.49,323325.54
apartamento,Minas Gerais,Higienópolis,13,101,2,0,660000.0,-46.665102,-23.555355,minas gerais,7394013.33,330047.49
apartamento,Soror Angélica,Casa Verde,14,49,2,0,360000.0,-46.6431904,-23.5038751,soror angelica,7399739.95,332219.08
apartamento,Cupecê,Cidade Ademar,103,55,2,1,270000.0,-46.6668621,-23.6583284,cupece,7382607.93,330000.69
apartamento,Elba,Sacomã,12,145,3,2,839402.0,-46.6020406,-23.608077,elba,7388248.39,336550.49
apartamento,Brigadeiro Luís Antônio,República,23,65,2,0,530000.0,-46.6387531,-23.5544701,brigadeiro luis antonio,7394142.32,332736.24
apartamento,Capitão Macedo,Vila Mariana,143,84,3,2,,-46.6413077,-23.5934859,capitao macedo,7389818.77,332524.96
apartamento,Correia Dias,Vila Mariana,102,94,2,2,1200000.0,-46.6419594,-23.5765565,correia dias,7391692.75,332436.94
apartamento,Conselheiro Brotero,Santa Cecília,41,70,2,1,,-46.659033,-23.532739,conselheiro brotero,7396524.99,330638.08
apartamento,Morás,Vila Madalena,4,300,3,5,3200000.0,-46.6941853,-23.5564377,moras,7393858.64,327079.86
apartamento,Consolação,República,104,40,1,1,450000.0,-46.6442572,-23.5474434,consolacao,7394914.02,332165.41
apartamento,Ponta Porã,Vila Romana,11,67,2,1,450000.0,-46.7087667,-23.534583,ponta pora,7396261.18,325562.44
apartamento,Visconde da Luz,Vila Olímpia,34,68,2,1,,-46.6760047,-23.5937862,visconde da luz,7389744.47,328984.27
apartamento,Alcantarilla,Vila Andrade,52,70,2,2,500000.0,-46.732434,-23.635077,alcantarilla,7385103.22,323280.57
apartamento,Ernesto de Oliveira,Chacara Klabin,121,327,4,4,2800000.0,-46.6246589,-23.5928676,ernesto de oliveira,7389906.63,334223.3
apartamento,Paulista,Paraíso,141,214,3,1,1705000.0,-46.6447663,-23.5711206,paulista,7392291.43,332143.53
apartamento,Sorocaba,Botafogo,103,56,2,0,730000.0,-43.18848633,-22.95627315,sorocaba,7460175.36,685728.11
apartamento,André Dreyfus,Perdizes,62,156,3,1,990000.0,-46.674385,-23.5414452,andre dreyfus,7395542.66,329081.82
apartamento,Campinas,Jardim Paulista,62,123,3,1,,-46.6569914,-23.5699103,campinas,7392411.08,330894.11
apartamento,Botafogo,Botafogo,615,20,1,0,380000.0,-43.18244,-22.94493,botafogo,7461423.82,686363.71
apartamento,Tutóia,Paraíso,95,71,1,1,540000.0,-46.6509243,-23.5783191,tutoia,7391487.04,331524.15
apartamento,Itapiru,Saúde,62,72,3,1,510000.0,-46.6351551,-23.6161751,itapiru,7387313.38,333181.59
apartamento,Cardeal Arcoverde,Pinheiros,82,42,1,1,,-46.687903,-23.561441,cardeal arcoverde,7393312.13,327727.73
apartamento,Taquari,Mooca,184,100,3,2,900000.0,-46.5946488,-23.5484483,taquari,7394859.94,337231.25
apartamento,Contos Gauchescos,Jabaquara,103,78,2,2,600000.0,-46.6683275,-23.6512146,contos gauchescos,7383393.97,329842.01
apartamento,Francisco Isoldi,Vila Madalena,161,278,4,4,3750000.0,-46.6943004,-23.5475262,francisco isoldi,7394845.36,327056.45
apartamento,Saint Hilaire,Jardim Paulista,104,99,2,0,900000.0,-46.6539855,-23.5708966,saint hilaire,7392305.4,331202.2
apartamento,Anny,Sacomã,81,62,3,1,270000.0,-46.5864398,-23.6221484,anny,7386707.91,338159.74
apartamento,Júlio Buono,Vila Medeiros,125,60,2,2,450000.0,-46.5969353,-23.492386,julio buono,7401065.49,336928.75
apartamento,Antônio Aggio,Vila Andrade,81,350,3,3,1480000.0,-46.7304847,-23.6279769,antonio aggio,7385891.92,323469.93
apartamento,Franca,Jardim Paulista,71,140,3,1,1200000.0,-46.6573742,-23.5670444,franca,7392728.0,330851.37
apartamento,Tabapuã,Itaim Nobre,42,162,3,2,,-46.6865382,-23.5859859,tabapua,7390595.66,327899.06
apartamento,Nossa Senhora das Mercês,Sacomã,114,40,1,1,328600.0,-46.6076096,-23.6231728,nossa senhora das merces,7386570.34,336001.0
apartamento,Iaiá,Itaim Bibi,71,65,2,2,,-46.6781762,-23.5868048,iaia,7390515.0,328753.58
apartamento,Leais Paulistanos,Ipiranga,12,78,2,0,340000.0,-46.6027732,-23.578226,leais paulistanos,7391553.19,336438.71
apartamento,Jurupis,Moema Índios,121,98,3,2,1650000.0,-46.6641287,-23.6091416,jurupis,7388058.16,330216.08
apartamento,Barata Ribeiro,Copacabana,,110,3,1,1040000.0,-43.18614456,-22.96894031,barata ribeiro,7458769.66,685950.93
apartamento,Princesa Isabel,Campo Belo,42,95,3,1,585000.0,-46.68327,-23.623103,princesa isabel,7386489.2,328280.99
apartamento,Pintassilgo,Moema Pássaros,86,45,1,1,520000.0,-46.6736119,-23.6037122,pintassilgo,7388648.12,329241.33
apartamento,Tonelero,Vila Romana,84,62,2,1,580000.0,-46.70476,-23.5310165,tonelero,7396661.0,325966.85
apartamento,Nova Cantareira,Santana,102,133,3,2,900000.0,-46.6227974,-23.4879953,nova cantareira,7401522.11,334281.87
apartamento,Delegado Moraes Novaes,Vila Andrade,34,71,2,2,617000.0,-46.7352068,-23.634242,delegado moraes novaes,7385192.26,322996.54
apartamento,Odorico Mendes,Cambuci,164,42,2,1,280000.0,-46.6201329,-23.5561151,odorico mendes,7393981.77,334639.16
apartamento,Barão de Limeira,Bom Retiro,52,120,3,0,625000.0,-46.6485189,-23.5335684,barao de limeira,7396445.52,331712.67
apartamento,Franca,Jardim América,132,174,3,1,,-46.6649978,-23.5607855,franca,7393412.08,330065.11
apartamento,Leonardo da Vinci,Jabaquara,23,68,2,1,470000.0,-46.6394132,-23.6408167,leonardo da vinci,7384579.6,332778.4
apartamento,Conde Prates,Mooca,33,67,2,1,550000.0,-46.593604,-23.56781,conde prates,7392717.07,337361.75
apartamento,Pasteur,Botafogo,602,263,3,2,2000000.0,-43.17811285,-22.95034754,pasteur,7460818.39,686800.06
apartamento,Raul Pompéia,Vila Romana,31,175,3,2,1115000.0,-46.6890707,-23.5322276,raul pompeia,7396545.83,327570.42
apartamento,José Maria Lisboa,Jardim Paulista,11,94,2,1,1210000.0,-46.6556607,-23.5699535,jose maria lisboa,7392407.87,331030.0
apartamento,Domingos Leme,Vila Nova Conceição,61,192,3,3,3987486.0,-46.6704153,-23.5934147,domingos leme,7389792.28,329554.23
apartamento,Marquês de Itu,República,141,37,1,1,300000.0,-46.6461661,-23.5440863,marques de itu,7395283.54,331966.26
apartamento,Djalma Bento,Campo Grande,71,86,3,1,550000.0,-46.6814018,-23.6663107,djalma bento,7381706.56,328527.95
apartamento,Bandeira Paulista,Itaim Bibi,92,120,2,1,1595000.0,-46.6769793,-23.5799421,bandeira paulista,7391276.41,328866.84
apartamento,Cardoso de Melo,Vila Olímpia,74,74,2,2,1067000.0,-46.6774377,-23.6021205,cardoso de melo,7388819.82,328848.84
apartamento,Ouro Branco,Jardim Paulista,81,364,5,3,3500000.0,-46.6623503,-23.5714377,ouro branco,7392235.6,330349.06
apartamento,Padre João Manuel,Jardim América,33,154,3,1,,-46.6645099,-23.5639176,padre joao manuel,7393065.81,330118.95
apartamento,São Francisco de Assis,São Domingos,4A,93,2,1,430000.0,-46.7392118,-23.4870542,sao francisco de assis,7401487.25,322390.08
apartamento,Pará,Higienópolis,111,167,3,2,,-46.6595845,-23.5490704,para,7394715.81,330602.69
apartamento,Manuel de Almeida,Vila Guilherme,141,110,3,2,745000.0,-46.6011802,-23.5041786,manuel de almeida,7399754.79,336509.76
apartamento,Carlos Weber,Vila Leopoldina,113,116,4,3,1060000.0,-46.7275512,-23.5310824,carlos weber,7396625.87,323639.78
apartamento,Borges Lagoa,Vila Clementino,101,233,4,4,1750000.0,-46.6459781,-23.5970653,borges lagoa,7389416.92,332052.87
apartamento,Cláudio,Vila Romana,181,113,2,2,900000.0,-46.6907584,-23.5246801,claudio,7397379.62,327388.24
apartamento,Lorena,Jardim América,96,39,1,1,580000.0,-46.6636685,-23.5663786,lorena,7392794.28,330208.0
apartamento,Guaramomis,Moema Índios,221,628,4,8,5495000.0,-46.6571815,-23.6098875,guaramomis,7387983.79,330925.96
apartamento,Santo Egídio,Santana,58,60,2,1,280000.0,-46.639761,-23.4903812,santo egidio,7401238.23,332552.26
apartamento,Melo Alves,Jardim América,102,187,3,3,,-46.6718053,-23.5621557,melo alves,7393252.25,329371.95
apartamento,Humberto I,Vila Mariana,14,89,2,2,,-46.6432682,-23.5805373,humberto i,7391250.39,332308.41
apartamento,Raimundo Pereira de Magalhães,Lapa,114A,66,2,1,550000.0,-46.7138676,-23.5137837,raimundo pereira de magalhaes,7398558.3,325014.11
apartamento,Paes de Barros,Mooca,804,140,3,1,1005000.0,-46.5985842,-23.561358,paes de barros,7393425.88,336845.43
apartamento,Zuquim,Santana,401,97,2,0,375000.0,-46.6224973,-23.5034036,zuquim,7399816.18,334331.79
apartamento,Guaianases,República,58,52,2,0,220000.0,-46.6410531,-23.5401042,guaianases,7395730.5,332483.23
apartamento,Aimberê,Perdizes,33,105,3,1,840000.0,-46.6802777,-23.5358501,aimbere,7396155.22,328472.93
apartamento,Pedro Doll,Santana,131,210,4,3,1600000.0,-46.6298656,-23.491506,pedro doll,7401125.17,333564.35
apartamento,Itapimirum,Vila Andrade,903,67,2,2,450000.0,-46.7336375,-23.6318957,itapimirum,7385454.04,323153.5
apartamento,Luís Augusto de Queirós Aranha,Vila Madalena,51,120,3,1,1150000.0,-46.7090446,-23.5443245,luis augusto de queiros aranha,7395182.06,325546.92
apartamento,Guaranésia,Vila Maria,172,79,2,2,715000.0,-46.5899862,-23.5174265,guaranesia,7398300.47,337669.18
apartamento,Bandeirantes,Bom Retiro,61,99,3,1,460000.0,-46.6360464,-23.5275368,bandeirantes,7397128.03,332978.53
apartamento,Indiana,Brooklin,21,152,3,3,1460000.0,-46.6826438,-23.6122389,indiana,7387693.05,328330.73
apartamento,Pintassilgo,Moema Pássaros,95,45,1,1,580000.0,-46.6736119,-23.6037122,pintassilgo,7388648.12,329241.33
apartamento,Enéias Luís Carlos Barbanti,Freguesia do Ó,802B,47,2,1,320000.0,-46.6949922,-23.5037949,eneias luis carlos barbanti,7399687.35,326928.62
apartamento,Vigário Albernaz,Cursino,73,65,2,1,380000.0,-46.62313,-23.605365,vigario albernaz,7388524.45,334395.03
apartamento,Joaquim Guarani,Santo Amaro,121K,70,1,1,890000.0,-46.6933439,-23.6265296,joaquim guarani,7386097.59,327257.6
apartamento,Fábia,Vila Romana,51,172,4,3,1705000.0,-46.6986091,-23.5268786,fabia,7397126.69,326589.48
apartamento,Arapanés,Moema Pássaros,154,79,2,1,775500.0,-46.6645267,-23.6041679,arapanes,7388608.48,330169.06
apartamento,Aratãs,Moema Índios,71,85,2,1,790000.0,-46.661546,-23.6105168,aratas,7387908.93,330481.4
apartamento,Simão Velho,Freguesia do Ó,102,67,3,2,425000.0,-46.6920593,-23.4971119,simao velho,7400430.95,327219.43
apartamento,Ascencional,Vila Andrade,34B,64,2,2,355000.0,-46.7330715,-23.6236929,ascencional,7386363.15,323200.24
apartamento,Martim Francisco,Santa Cecília,6,96,2,0,445200.0,-46.6534196,-23.540209,martim francisco,7395704.39,331220.76
