tipo_imovel,logradouro,bairro,numero,metragem,quartos,vaga,preco_total,longitude,latitude,ruas,latitude_utm,longitude_utm,lugares_alimentacao,lugares_servicos,outros,lugares_comercio,lugares_cultura,lugares_saude,lugares_educacao,lugares_religiosos,lugares_parques,lugares_estadios,lugares_turismo,lugares_metro_trem,lugares_transporte
apartamento,Paes de Barros,Mooca,81,130,3,2,600000.0,-46.5874144,-23.569936,paes de barros,7392488.66,337996.17,36.0,13.0,1.0,14.0,1.0,13.0,3.0,30.0,60.0,0.0,0.0,0.0,0.0
apartamento,Guarará,Jardim Paulista,75,130,3,1,0.0,-46.6575257,-23.5735764,guarara,7392004.47,330844.27,182.0,108.0,82.0,131.0,144.0,67.0,1.0,32.0,2.0,160.0,3.0,0.0,0.0
apartamento,Veiga Filho,Higienópolis,122,43,1,0,440000.0,-46.6597089,-23.5401983,veiga filho,7395698.16,330578.62,183.0,47.0,105.0,80.0,157.0,59.0,76.0,63.0,161.0,84.0,0.0,166.0,0.0
apartamento,Jacaré-Copaíba,Freguesia do Ó,62,66,3,1,300000.0,-46.7022463,-23.483577,jacare-copaiba,7401917.52,326161.24,5.0,7.0,0.0,1.0,0.0,0.0,6.0,13.0,2.0,0.0,0.0,0.0,0.0
apartamento,Nebulosas,São Mateus,141,46,2,1,266000.0,-46.4601456,-23.6118181,nebulosas,7387989.12,351033.92,4.0,1.0,5.0,0.0,0.0,0.0,0.0,16.0,2.0,1.0,0.0,0.0,0.0
apartamento,Francisco de Paula Quintanilha Ribeiro,Jabaquara,93,69,2,2,580000.0,-46.6418658,-23.6489217,francisco de paula quintanilha ribeiro,7383679.18,332538.51,4.0,8.0,1.0,18.0,4.0,3.0,26.0,13.0,0.0,0.0,0.0,37.0,0.0
apartamento,Senador Vergueiro,Flamengo,801,198,4,1,1800000.0,-43.17520311,-22.93542245,senador vergueiro,7462467.47,687118.99,41.0,43.0,13.0,48.0,27.0,26.0,22.0,35.0,48.0,5.0,0.0,22.0,0.0
apartamento,São Tomé,Vila Olímpia,1501,105,1,2,1680000.0,-46.6887343,-23.5940737,sao tome,7389697.36,327685.48,103.0,116.0,10.0,135.0,20.0,29.0,18.0,51.0,102.0,1.0,2.0,61.0,0.0
apartamento,Barros,Santa Cecília,82A1,160,4,2,1400000.0,-46.6551403,-23.5369982,barros,7396057.92,331040.98,148.0,55.0,182.0,78.0,78.0,28.0,95.0,93.0,155.0,0.0,0.0,153.0,0.0
apartamento,Adolfo Gordo,Bom Retiro,83,36,1,1,340000.0,-46.6490184,-23.5339913,adolfo gordo,7396398.1,331662.2,98.0,49.0,17.0,191.0,79.0,11.0,20.0,84.0,18.0,0.0,0.0,153.0,0.0
apartamento,César Vallejo,Morumbi,11,237,3,3,980000.0,-46.70444439999999,-23.609444399999997,cesar vallejo,7387976.18,326102.42,2.0,30.0,1.0,43.0,35.0,7.0,0.0,10.0,33.0,1.0,0.0,0.0,0.0
apartamento,Cipriano Barata,Ipiranga,25,45,2,1,280000.0,-46.6062829,-23.5710051,cipriano barata,7392348.8,336071.52,9.0,8.0,0.0,0.0,7.0,2.0,0.0,13.0,3.0,0.0,169.0,0.0,0.0
apartamento,General Barbosa Lima,Copacabana,301,80,2,2,862000.0,-43.18001019,-22.96650305,general barbosa lima,7459031.77,686583.3,70.0,77.0,5.0,89.0,19.0,43.0,0.0,77.0,18.0,0.0,11.0,22.0,0.0
apartamento,Rodrigo Cláudio,Aclimação,151,180,3,3,1500000.0,-46.635490999999995,-23.5741966,rodrigo claudio,7391961.64,333094.19,181.0,37.0,11.0,114.0,39.0,98.0,134.0,79.0,122.0,80.0,97.0,316.0,4.0
apartamento,Urussuí,Itaim Bibi,142,88,2,1,0.0,-46.676120000000004,-23.5864655,urussui,7390555.03,328963.0,214.0,147.0,9.0,55.0,66.0,75.0,18.0,83.0,3.0,1.0,2.0,0.0,0.0
apartamento,Fagundes Filho,Saúde,45,82,2,2,885000.0,-46.6355364,-23.6267187,fagundes filho,7386145.34,333156.04,21.0,56.0,2.0,78.0,2.0,3.0,0.0,39.0,2.0,1.0,14.0,113.0,4.0
apartamento,Barão de Limeira,Bom Retiro,8C,63,2,0,350000.0,-46.649769299999996,-23.5314501,barao de limeira,7396678.63,331582.3,66.0,38.0,13.0,44.0,66.0,5.0,21.0,75.0,17.0,0.0,0.0,153.0,0.0
apartamento,José Eid Maluf,Cidade Ademar,444,45,2,1,225000.0,-46.656566999999995,-23.6738186,jose eid maluf,7380904.76,331070.78,6.0,14.0,3.0,5.0,3.0,6.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0
apartamento,Padre Machado,Saúde,41,69,2,1,550000.0,-46.6319814,-23.601522199999998,padre machado,7388939.72,333486.92,36.0,53.0,3.0,34.0,11.0,38.0,94.0,83.0,46.0,0.0,0.0,225.0,3.0
apartamento,Henrique Felipe da Costa,Vila Guilherme,35,49,1,1,310000.0,-46.6076526,-23.5176221,henrique felipe da costa,7398258.72,335865.44,12.0,18.0,1.0,35.0,0.0,0.0,25.0,6.0,2.0,61.0,0.0,0.0,0.0
apartamento,Franca,Jardim América,122,98,2,1,0.0,-46.662570200000005,-23.563246799999998,franca,7393142.39,330316.09,386.0,147.0,16.0,220.0,470.0,91.0,179.0,48.0,166.0,0.0,285.0,465.0,0.0
apartamento,Barão de Castro Lima,Morumbi,204,276,4,4,1700000.0,-46.7037064,-23.606953100000002,barao de castro lima,7388252.97,326174.44,3.0,32.0,1.0,92.0,35.0,7.0,0.0,10.0,36.0,1.0,0.0,0.0,0.0
apartamento,Santos Dumont,Gávea,102,69,1,0,1030000.0,-43.22698171,-22.97423854,santos dumont,7458234.12,681756.39,24.0,26.0,10.0,19.0,31.0,18.0,12.0,27.0,18.0,10.0,4.0,0.0,0.0
apartamento,Sarutaiá,Jardim Paulista,111,193,3,2,0.0,-46.653600399999995,-23.569786399999998,sarutaia,7392428.8,331240.09,322.0,231.0,86.0,282.0,334.0,128.0,0.0,78.0,180.0,160.0,194.0,170.0,0.0
apartamento,Duílio,Vila Romana,221,159,3,2,1500000.0,-46.6927703,-23.52401,duilio,7397451.4,327181.93,46.0,34.0,5.0,49.0,11.0,6.0,14.0,80.0,8.0,75.0,0.0,0.0,0.0
apartamento,Itacema,Itaim Bibi,62,160,3,2,0.0,-46.671989200000006,-23.579173899999997,itacema,7391367.44,329375.18,73.0,53.0,2.0,34.0,186.0,73.0,0.0,77.0,4.0,0.0,0.0,0.0,0.0
apartamento,Fabrício Vampré,Vila Mariana,41,187,4,4,1920000.0,-46.6409849,-23.5832563,fabricio vampre,7390951.97,332544.91,212.0,38.0,0.0,61.0,91.0,49.0,53.0,87.0,20.0,0.0,0.0,314.0,18.0
apartamento,Capistrano de Abreu,Bom Retiro,34,68,2,1,450000.0,-46.65399779999999,-23.5281796,capistrano de abreu,7397035.83,331146.37,53.0,36.0,106.0,7.0,34.0,9.0,19.0,55.0,5.0,0.0,0.0,82.0,0.0
apartamento,Barão de Ipanema,Copacabana,802,110,3,1,1200000.0,-43.192435700000004,-22.97407357,barao de ipanema,7458209.17,685298.83,67.0,58.0,20.0,84.0,27.0,52.0,10.0,80.0,26.0,0.0,3.0,22.0,0.0
apartamento,Franca,Jardim América,52,175,3,2,0.0,-46.665222899999996,-23.5604273,franca,7393451.48,330041.67,305.0,87.0,11.0,144.0,383.0,67.0,91.0,52.0,160.0,0.0,285.0,380.0,0.0
apartamento,Americanos,Bom Retiro,81,59,2,1,450000.0,-46.6555435,-23.5186888,americanos,7398085.01,330976.42,11.0,31.0,3.0,12.0,9.0,4.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0
apartamento,Treze de Maio,Bela Vista,32,145,3,1,850000.0,-46.644670399999995,-23.5661641,treze de maio,7392840.42,332147.02,329.0,248.0,21.0,319.0,225.0,205.0,188.0,157.0,84.0,0.0,97.0,337.0,0.0
apartamento,Brasões,Santo Amaro,131,270,4,4,1800000.0,-46.6880969,-23.6285881,brasoes,7385875.96,327795.65,47.0,25.0,1.0,9.0,0.0,12.0,1.0,15.0,0.0,1.0,0.0,71.0,0.0
apartamento,Diógenes Ribeiro de Lima,Vila Leopoldina,274,180,4,3,1600000.0,-46.718804299999995,-23.534666899999998,diogenes ribeiro de lima,7396239.64,324537.66,101.0,19.0,8.0,2.0,3.0,8.0,24.0,18.0,2.0,0.0,0.0,0.0,0.0
apartamento,Paes de Barros,Mooca,133,110,2,1,450000.0,-46.591477600000005,-23.566930199999998,paes de barros,7392816.91,337577.72,28.0,11.0,0.0,13.0,0.0,13.0,0.0,22.0,17.0,0.0,0.0,0.0,0.0
apartamento,Barão do Triunfo,Campo Belo,52,130,4,2,1060626.0,-46.6775402,-23.6185557,barao do triunfo,7386999.65,328859.73,66.0,31.0,0.0,15.0,9.0,10.0,0.0,72.0,14.0,1.0,0.0,130.0,0.0
apartamento,Cayowaá,Perdizes,61,84,3,1,850000.0,-46.681424,-23.535386,cayowaa,7396205.24,328355.29,76.0,58.0,4.0,88.0,14.0,28.0,22.0,36.0,22.0,301.0,0.0,0.0,0.0
apartamento,Escola Politécnica,Jaguaré,41,234,3,3,1700000.0,-46.737744899999996,-23.5553807,escola politecnica,7393922.45,322631.53,2.0,4.0,0.0,1.0,22.0,0.0,47.0,5.0,1.0,0.0,3.0,0.0,0.0
