id_site,type,type,area,bedrooms,suits,parkingSpots,floor,complexFee,propertyTax,price,amenities,currentPhase,lat,lng,city,number,postalCode,streetName,streetType,unitNumber,neighborhood
102sq0j,apartment,apartment,130,3,1,2,8,1426,225.96,600000,"['grill', 'playground', 'party_room']",ready_to_move,-23.56993600,-46.58741440,São Paulo,2221,03115-001,Paes de Barros,Avenida,81,Mooca
1032rvh,apartment,apartment,130,3,1,1,7,883,297.31,,['green_area'],ready_to_move,-23.57357640,-46.65752570,São Paulo,153,01425-001,Guarará,Rua,75,Jardim Paulista
105kdm5,apartment,apartment,43,1,0,0,12,645,0,,['green_area'],ready_to_move,-23.54019830,-46.65970890,São Paulo,425,01229-001,Veiga Filho,Rua Doutor,122,Higienópolis
107dy28,apartment,apartment,153,3,3,3,6,1500,651.76,2330000,['green_area'],set_up,-23.55248690,-46.69117460,São Paulo,770,05433-001,Girassol,Rua,61,Vila Madalena
108us1l,apartment,apartment,66,3,0,1,6,550,0,,"['playground', 'sports_court', 'party_room', 'play_game']",ready_to_move,-23.48357700,-46.70224630,São Paulo,119,02965-170,Jacaré-Copaíba,Rua,62,Freguesia do Ó
109r687,apartment,apartment,46,2,0,1,14,356,0,266000,"['gym', 'kids', 'gourmet', 'pool', 'playground', 'party_room', 'play_game', 'green_area']",ready_to_move,-23.61181810,-46.46014560,São Paulo,750,08330-430,Nebulosas,Rua,141,São Mateus
10a0sh9,apartment,apartment,109,3,1,1,6,1100,252.45,1690000,[],set_up,-23.56720500,-46.66318310,São Paulo,1769,01409-003,Peixoto Gomide,Rua,63,Jardim América
10akko9,apartment,apartment,69,3,1,2,9,680,106.35,580000,"['gym', 'gourmet', 'pool', 'playground', 'sports_court', 'party_room', 'play_game']",ready_to_move,-23.64892170,-46.64186580,São Paulo,246,04330-020,Francisco de Paula Quintanilha Ribeiro,Avenida,93,Jabaquara
10alwdx,apartment,apartment,198,4,1,1,8,1600,491,1800000,[],ready_to_move,-22.93542245,-43.17520311,Rio de Janeiro,81,22230-000,Senador Vergueiro,Rua,801,Flamengo
10aynkp,apartment,apartment,105,1,1,2,15,3067,478.47,1680000,"['gym', 'gourmet', 'pool', 'party_room', 'green_area']",ready_to_move,-23.59407370,-46.68873430,São Paulo,73,04551-080,São Tomé,Rua,1501,Vila Olímpia
10b2d0x,apartment,apartment,160,4,1,2,8,1500,355.69,1400000,"['grill', 'pool', 'playground', 'party_room', 'play_game', 'green_area', 'condoPowerGenerator']",ready_to_move,-23.53699820,-46.65514030,São Paulo,399,01232-001,Barros,Alameda,82A1,Santa Cecília
10e26by,apartment,apartment,237,3,2,3,1,3200,1779.14,980000,"['pool', 'sports_court', 'party_room']",ready_to_move,-23.60944440,-46.70444440,São Paulo,239,05685-000,César Vallejo,Rua,11,Morumbi
