codigo,endereco,tipo_imovel,logradouro,bairro,cidade,metragem,quartos,banheiros,vaga,andar,mobilia,aluguel,condominio,iptu,preco_total
893085878,"['street:""Rua Jaguarete""', 'lng:-46.6565652', 'number:""202""', 'city:""São Paulo""', 'zipCode:""02515-010""', 'neighborhood:""Casa Verde""', 'stateAcronym:""SP""', 'country:""Brazil""', 'stateName:""São Paulo""', 'lat:-23.510311']","Apartamento para alugar com 2 quartos, 56m²",Rua Jaguarete, Casa Verde, São Paulo,56 m²,2 quartos,2 banheiros,1 vaga,9º andar,Sem mobília,R$ 2.080,R$ 579,R$ 125,R$ 2.811
893085840,"['street:""Rua Jaguarete""', 'lng:-46.6565652', 'number:""202""', 'city:""São Paulo""', 'zipCode:""02515-010""', 'neighborhood:""Casa Verde""', 'stateAcronym:""SP""', 'country:""Brazil""', 'stateName:""São Paulo""', 'lat:-23.510311']","Apartamento para alugar com 2 quartos, 54m²",Rua Jaguarete, Casa Verde, São Paulo,54 m²,2 quartos,2 banheiros,1 vaga,11º andar,Sem mobília,R$ 2.170,R$ 578,R$ 1.250,R$ 4.026
893085845,"['street:""Rua Jaguarete""', 'lng:-46.6565652', 'number:""202""', 'city:""São Paulo""', 'zipCode:""02515-010""', 'neighborhood:""Casa Verde""', 'stateAcronym:""SP""', 'country:""Brazil""', 'stateName:""São Paulo""', 'lat:-23.510311']","Apartamento para alugar com 2 quartos, 49m²",Rua Jaguarete, Casa Verde, São Paulo,49 m²,2 quartos,2 banheiros,1 vaga,8º andar,Sem mobília,R$ 2.320,R$ 517,R$ 125,R$ 2.992
893085857,"['street:""Rua Jaguarete""', 'lng:-46.6565652', 'number:""202""', 'city:""São Paulo""', 'zipCode:""02515-010""', 'neighborhood:""Casa Verde""', 'stateAcronym:""SP""', 'country:""Brazil""', 'stateName:""São Paulo""', 'lat:-23.510311']","Apartamento para alugar com 2 quartos, 56m²",Rua Jaguarete, Casa Verde, São Paulo,56 m²,2 quartos,2 banheiros,1 vaga,10º andar,Sem mobília,R$ 2.170,R$ 579,R$ 125,R$ 2.902
893085850,"['street:""Rua Jaguarete""', 'lng:-46.6565652', 'number:""202""', 'city:""São Paulo""', 'zipCode:""02515-010""', 'neighborhood:""Casa Verde""', 'stateAcronym:""SP""', 'country:""Brazil""', 'stateName:""São Paulo""', 'lat:-23.510311']","Apartamento para alugar com 2 quartos, 54m²",Rua Jaguarete, Casa Verde, São Paulo,54 m²,2 quartos,2 banheiros,1 vaga,4º andar,Sem mobília,R$ 2.170,R$ 570,R$ 125,R$ 2.893
893085869,"['street:""Rua Jaguarete""', 'lng:-46.6565652', 'number:""202""', 'city:""São Paulo""', 'zipCode:""02515-010""', 'neighborhood:""Casa Verde""', 'stateAcronym:""SP""', 'country:""Brazil""', 'stateName:""São Paulo""', 'lat:-23.510311']","Apartamento para alugar com 2 quartos, 49m²",Rua Jaguarete, Casa Verde, São Paulo,49 m²,2 quartos,1 banheiro,1 vaga,5º andar,Sem mobília,R$ 2.150,R$ 517,R$ 125,R$ 2.820
893083699,"['street:""Rua Caetano Desco""', 'lng:-46.6563618', 'number:""166""', 'city:""São Paulo""', 'zipCode:""02523-080""', 'neighborhood:""Vila Baruel""', 'stateAcronym:""SP""', 'country:""Brazil""', 'stateName:""São Paulo""', 'lat:-23.5059269']","Studio para alugar com 2 quartos, 46m²",Rua Caetano Desco, Casa Verde, São Paulo,46 m²,2 quartos,1 banheiro,Sem vaga,-,Sem mobília,R$ 1.400,R$ 0,R$ 0,R$ 1.418
892979073,"['street:""Rua Relíquia""', 'lng:-46.6611985', 'number:""758""', 'city:""São Paulo""', 'zipCode:""02517-001""', 'neighborhood:""Jardim das Laranjeiras""', 'stateAcronym:""SP""', 'country:""Brazil""', 'stateName:""São Paulo""', 'lat:-23.5059854']","Apartamento para alugar com 2 quartos, 55m²",Rua Relíquia, Casa Verde, São Paulo,55 m²,2 quartos,1 banheiro,1 vaga,2º andar,Sem mobília,R$ 1.350,R$ 850,R$ 106,R$ 2.324
892963493,"['street:""Rua Joboatão""', 'lng:-46.6589546', 'number:""542 ""', 'city:""São Paulo""', 'zipCode:""02516-010""', 'neighborhood:""Casa Verde""', 'stateAcronym:""SP""', 'country:""Brazil""', 'stateName:""São Paulo""', 'lat:-23.506794']","Apartamento para alugar com 2 quartos, 63m²",Rua Joboatão, Casa Verde, São Paulo,63 m²,2 quartos,1 banheiro,2 vagas,4º andar,Sem mobília,R$ 1.800,R$ 580,R$ 114,R$ 2.521
893057581,"['street:""Rua Jaguaretê""', 'lng:-46.6564101', 'number:""177""', 'city:""São Paulo""', 'zipCode:""02515-010""', 'neighborhood:""Casa Verde""', 'stateAcronym:""SP""', 'country:""Brazil""', 'stateName:""São Paulo""', 'lat:-23.510643']","Apartamento para alugar com 3 quartos, 73m²",Rua Jaguaretê, Casa Verde, São Paulo,73 m²,3 quartos,2 banheiros,1 vaga,4º andar,Sem mobília,R$ 1.600,R$ 682,R$ 250,R$ 2.553
