LOGRADOURO,BAIRRO,CIDADE/ESTADO,BAIRRO.1,CEP
Rua Areas,Água Rasa,"São Paulo, SP","Água Rasa, São Paulo, SP",03179-020
Rua Barão de Penedo,Água Rasa,"São Paulo, SP","Água Rasa, São Paulo, SP",03179-070
Rua Barão de Penedo 107,Água Rasa,"São Paulo, SP","Água Rasa, São Paulo, SP",03175-901
Rua Barão de Penedo 107,Água Rasa,"São Paulo, SP","Água Rasa, São Paulo, SP",03179-900
Rua Capitão João Rosa da Cruz,Água Rasa,"São Paulo, SP","Água Rasa, São Paulo, SP",03179-080
Rua Curupira,Água Rasa,"São Paulo, SP","Água Rasa, São Paulo, SP",03179-140
Rua Itamaracá,Água Rasa,"São Paulo, SP","Água Rasa, São Paulo, SP",03179-010
Rua Manuel Pereira Lobo,Água Rasa,"São Paulo, SP","Água Rasa, São Paulo, SP",03179-060
Rua Moacir de Almeida,Água Rasa,"São Paulo, SP","Água Rasa, São Paulo, SP",03179-130
Travessa Paquequer,Água Rasa,"São Paulo, SP","Água Rasa, São Paulo, SP",03179-090
Rua Sariema,Água Rasa,"São Paulo, SP","Água Rasa, São Paulo, SP",03179-120
Rua São José do Barreiro,Água Rasa,"São Paulo, SP","Água Rasa, São Paulo, SP",03179-050
Rua Tapati,Água Rasa,"São Paulo, SP","Água Rasa, São Paulo, SP",03179-030
Rua Vergel,Água Rasa,"São Paulo, SP","Água Rasa, São Paulo, SP",03179-040
Rua Vila Ferreira,Água Rasa,"São Paulo, SP","Água Rasa, São Paulo, SP",03179-100
Rua Voltolino,Água Rasa,"São Paulo, SP","Água Rasa, São Paulo, SP",03179-150
Rua Água Rasa,Vila Regente Feijó,"São Paulo, SP","Vila Regente Feijó, São Paulo, SP",03343-010
Rua Água Santa,Água Rasa,"São Paulo, SP","Água Rasa, São Paulo, SP",03179-110
Rua Alberto Faria - até 971/972,Alto de Pinheiros,"São Paulo, SP","Alto de Pinheiros, São Paulo, SP",05459-000
Rua Alberto Faria - de 973/974 a 1607/1608,Alto de Pinheiros,"São Paulo, SP","Alto de Pinheiros, São Paulo, SP",05459-001
Rua Alberto Faria - de 1609/1610 ao fim,Alto de Pinheiros,"São Paulo, SP","Alto de Pinheiros, São Paulo, SP",05459-002
Rua Alexandre Herculano,Alto de Pinheiros,"São Paulo, SP","Alto de Pinheiros, São Paulo, SP",05464-020
Rua Almeida Garrett,Alto de Pinheiros,"São Paulo, SP","Alto de Pinheiros, São Paulo, SP",05459-020
Rua Anna Ascoli,Alto de Pinheiros,"São Paulo, SP","Alto de Pinheiros, São Paulo, SP",05458-070
Rua Antero Barbosa,Alto de Pinheiros,"São Paulo, SP","Alto de Pinheiros, São Paulo, SP",05446-020
Avenida Antônio Batuira,Alto de Pinheiros,"São Paulo, SP","Alto de Pinheiros, São Paulo, SP",05462-050
Rua Antônio de Gouveia Giudice - até 873/874,Alto de Pinheiros,"São Paulo, SP","Alto de Pinheiros, São Paulo, SP",05460-000
Rua Antônio de Gouveia Giudice - de 875/876 ao fim,Alto de Pinheiros,"São Paulo, SP","Alto de Pinheiros, São Paulo, SP",05460-001
Rua Aquiramum,Alto de Pinheiros,"São Paulo, SP","Alto de Pinheiros, São Paulo, SP",05446-030
Rua Araçuaí,Alto de Pinheiros,"São Paulo, SP","Alto de Pinheiros, São Paulo, SP",05467-070
Praça Arcipreste Anselmo de Oliveira,Alto de Pinheiros,"São Paulo, SP","Alto de Pinheiros, São Paulo, SP",05463-080
Rua Ariqueme,Alto de Pinheiros,"São Paulo, SP","Alto de Pinheiros, São Paulo, SP",05467-060
Rua Arquiteto Jaime Fonseca Rodrigues,Alto de Pinheiros,"São Paulo, SP","Alto de Pinheiros, São Paulo, SP",05446-000
